Ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
2000;387,7;304;190,4;50;9,7;9,8;74;;120,3;105,5;322;281
2001;283,1;221,9;241,2;28,7;85;31;31,7;26,9;82,3;213,1;181,6;292,9
2002;300,6;173,6;354,8;95,3;137,6;2,3;23;41,5;84;143,9;201,4;263,7
2003;443,4;141,5;250,2;45,5;36,6;20,7;24,5;27,6;41,5;176,7;133;89,9
2004;188,8;316,9;127,2;160,5;77,4;75,6;105,6;2,2;13,8;120,6;215,5;181
2005;378,3;95,9;202,1;137,3;177,1;35,1;39,8;11,5;150,3;195,3;96,6;140,1
2006;230,9;223,5;407,9;65,4;23,7;34,8;78,6;9,2;86,2;71,9;175;353,3
2007;208,7;301;240,2;67,6;63,1;17,2;134,3;0,1;27,4;167,2;211,7;268,7
2008;388;136,4;332,8;123,6;80,9;55,7;0;52,5;49,9;144,3;125,4;152,9
2009;356,4;145;73,6;75,3;58,1;28,3;157,7;;198,9;157,4;237,2;294,5
2010;549,1;175,4;258,9;116,4;52,8;20,2;78,4;1,2;100,4;73,8;129,2;234,7
2011;428,4;349,5;265,1;142;40,1;81,3;1,5;49,7;10,7;218,2;73,4;393,7
2012;401,5;226;165,9;149,1;82,4;;105,5;3,7;31,9;93,9;154;623,2
2013;321,7;372,1;175;103,4;39,4;210,9;168,8;15,3;45,1;110,7;76,6;139,9
2014;189,7;236,1;222,9;110,2;71;11,5;51,9;20,5;82,1;23,8;209,3;258
2015;249,3;303,5;265,9;100,4;87,2;25,4;62,7;40,5;280,9;;;221,9
2016;242,8;225,2;288,1;92,2;141,4;207,3;0;82,2;29,1;116,9;181,2;129,2
2017;;;120,8;156,3;166,1;101,6;0,2;53,4;12;121,2;174,4;169,6
2018;238,2;84,5;;66,4;25,8;15;20,5;;72,9;203,4;134,1;258
2019;;315,5;318,5;172,3;97,3;59;195,1;6,7;73,7;75,9;170,8;249
2020;408,1;363;95,5;5,6;13,7;163,8;10,2;62,1;22,9;213,9;162,1;
2021;373,3;174,1;137,8;55,7;38,5;15,5;38;44,8;;152,8;108,2;247,4
2022;418,4;136,3;233,6;40,4;67,3;45,9;8,8;35,2;131,3;117,3;197,7;200,4
2023;377,6;452;138,2;165,7;43,3;85,2;15;;;;;
  Média:;310,92;254,8;225,7;94,12;83,83;58,81;50,85;28,56;85,08;139,63;145,48;235,36
